,Count,Postings in Cluster,Ratio
0,292,113,2.584070796460177
1,196,253,0.7747035573122529
2,222,269,0.8252788104089219
3,572,388,1.4742268041237114
4,263,105,2.5047619047619047
5,305,242,1.2603305785123966
6,273,347,0.7867435158501441
7,230,102,2.2549019607843137
8,359,117,3.0683760683760686
9,286,139,2.0575539568345325
10,212,288,0.7361111111111112
11,138,171,0.8070175438596491
12,192,246,0.7804878048780488
13,102,50,2.04
14,129,192,0.671875
15,101,222,0.45495495495495497
16,195,92,2.119565217391304
17,128,190,0.6736842105263158
18,141,216,0.6527777777777778
19,106,70,1.5142857142857142
